fecha,zona_prov,letra,w_mean,Año,Valor_USD_Blue_Julio,Salario_USD
2013-01-01,CHUBUT,Z,4214,2013,8.0,526.75
2013-01-01,CORDOBA,A,4971,2013,8.0,621.375
2013-01-01,CORDOBA,B,7494,2013,8.0,936.75
2013-01-01,CORDOBA,C,9967,2013,8.0,1245.875
2013-01-01,CORDOBA,D,23704,2013,8.0,2963.0
2013-01-01,CORDOBA,E,11385,2013,8.0,1423.125
2013-01-01,CORDOBA,F,4244,2013,8.0,530.5
2013-01-01,CORDOBA,G,6220,2013,8.0,777.5
2013-01-01,CORDOBA,H,8141,2013,8.0,1017.625
2013-01-01,CORDOBA,I,3668,2013,8.0,458.5
2013-01-01,CORDOBA,J,9775,2013,8.0,1221.875
2013-01-01,CORDOBA,K,12955,2013,8.0,1619.375
2013-01-01,CORDOBA,L,5279,2013,8.0,659.875
2013-01-01,CORDOBA,M,5416,2013,8.0,677.0
2013-01-01,CORDOBA,N,4988,2013,8.0,623.5
2013-01-01,CORDOBA,O,7970,2013,8.0,996.25
2013-01-01,CORDOBA,P,5537,2013,8.0,692.125
2013-01-01,CORDOBA,Q,6206,2013,8.0,775.75
2013-01-01,CORDOBA,R,6180,2013,8.0,772.5
2013-01-01,CORDOBA,S,6475,2013,8.0,809.375
2013-01-01,CORDOBA,Z,4692,2013,8.0,586.5
2013-01-01,CORRIENTES,A,4080,2013,8.0,510.0
2013-01-01,CORRIENTES,B,5573,2013,8.0,696.625
2013-01-01,CORRIENTES,C,7346,2013,8.0,918.25
2013-01-01,CORRIENTES,D,13224,2013,8.0,1653.0
2013-01-01,CORRIENTES,E,6861,2013,8.0,857.625
2013-01-01,CORRIENTES,F,4514,2013,8.0,564.25
2013-01-01,CORRIENTES,G,5487,2013,8.0,685.875
2013-01-01,CORRIENTES,H,7464,2013,8.0,933.0
2013-01-01,CORRIENTES,I,4055,2013,8.0,506.875
2013-01-01,CORRIENTES,J,8076,2013,8.0,1009.5
2013-01-01,CORRIENTES,K,14927,2013,8.0,1865.875
2013-01-01,CORRIENTES,L,4589,2013,8.0,573.625
2013-01-01,CORRIENTES,M,4233,2013,8.0,529.125
2013-01-01,CORRIENTES,N,4127,2013,8.0,515.875
2013-01-01,CORRIENTES,O,6493,2013,8.0,811.625
2013-01-01,CORRIENTES,P,6553,2013,8.0,819.125
2013-01-01,CORRIENTES,Q,5825,2013,8.0,728.125
2013-01-01,CORRIENTES,R,6301,2013,8.0,787.625
2013-01-01,CORRIENTES,S,5148,2013,8.0,643.5
2013-01-01,CORRIENTES,Z,8668,2013,8.0,1083.5
2013-01-01,ENTRE RIOS,A,4499,2013,8.0,562.375
2013-01-01,ENTRE RIOS,B,6573,2013,8.0,821.625
2013-01-01,ENTRE RIOS,C,7362,2013,8.0,920.25
2013-01-01,ENTRE RIOS,D,25998,2013,8.0,3249.75
2013-01-01,ENTRE RIOS,E,5665,2013,8.0,708.125
2013-01-01,ENTRE RIOS,F,4873,2013,8.0,609.125
2013-01-01,ENTRE RIOS,G,6054,2013,8.0,756.75
2013-01-01,ENTRE RIOS,H,7780,2013,8.0,972.5
2013-01-01,ENTRE RIOS,I,3581,2013,8.0,447.625
2013-01-01,ENTRE RIOS,J,8781,2013,8.0,1097.625
2013-01-01,ENTRE RIOS,K,11619,2013,8.0,1452.375
2013-01-01,ENTRE RIOS,L,4952,2013,8.0,619.0
